CustomerID,Name,Email,Age,Gender,Location,ProductID,Category,Subcategory,Price,Weight,Dimensions,OrderID,DateOrder,TotalAmount,ShippingMethod,Status,InventoryID,StockLevel,RestockThreshold,LastRestockDate,WarehouseID,LocationWarehouse,Capacity,SupplierID,Company,LocationSupplier,QualityScore
7659,Megan Myers,donnastephens@example.net,49,Male,East Anthony,0,Electronics,Smart Watches,680.04,47.1,1x9x40,7659,27/11/2022,$1162.1,Standard,Cancelled,7659,10,338,2021-03-21,220,Lake Holly,9562,9,Johnson-Rodriguez,Katherineborough,7.81
275,Luis Freeman,sabrinalittle@example.org,66,Male,Christinaland,13,Electronics,Headphones,473.97,33.27,22x16x19,275,01/07/2021,$963.9,Standard,Shipped,275,894,32,2021-02-22,291,Dannyport,11559,2,Miller-Pearson,Clarkmouth,9.83
2985,Willie Roberts,vwatson@example.net,64,Male,Davidchester,4,Clothing,T-Shirts,355.64,0.9,49x11x39,2985,02-21-2021,£21.6,Express,Delivered,2985,246,39,2020-12-19,27,Colebury,16981,5,Morgan LLC,Port Robynmouth,1.23
9404,Paul Lopez,williamsgary@example.com,31,Male,New Williamhaven,9,Furniture,Beds,412.55,40.41,18x20x42,9404,2021-03-13,£828.18,Express,Cancelled,9404,915,10,2022-01-13,75,Thompsonmouth,14118,9,Johnson-Rodriguez,Katherineborough,7.81
5848,Brittany Kent,richardslisa@example.com,46,Male,Bettyside,48,Clothing,Jeans,255.42,27.21,27x5x39,5848,2020-09-08,€369.8,Standard,Pending,5848,953,263,2022-02-25,265,Smithport,6120,7,Miller Group,Clarkmouth,6.56
3477,Joseph Brown,marc38@example.com,45,Female,Kellyshire,48,Clothing,Jeans,353.01,44.09,22x22x49,3477,2022-10-21,$2781.63,Two-day,Pending,3477,784,265,2020-10-04,358,East Tylerbury,8715,0,Johnson-Rodriguez,Port Robynmouth,
7578,Jessica Brown,ohowell@example.net,55,Male,South Nathan,4,Clothing,T-Shirts,689.7,18.64,1x11x28,7578,26/12/2022,€90.63,Standard,Shipped,7578,897,150,2022-05-27,204,North Monicaville,14702,7,Miller Group,Clarkmouth,6.56
3558,Michael Bonilla,rangelashley@example.org,42,Female,East Anthony,16,Furniture,Tables,349.35,3.76,23x40x42,3558,2020-12-12,€1050.12,Two-day,Shipped,3558,676,320,2022-06-12,331,Julieshire,5795,2,Miller-Pearson,Clarkmouth,9.83
2809,Brandon King,edward51@example.net,32,Male,Virginiatown,1,Electronics,Cameras,667.87,31.13,27x31x7,2809,27/10/2022,€741.99,Express,Shipped,2809,228,481,2022-02-04,358,East Tylerbury,8715,5,Morgan LLC,Port Robynmouth,1.23
9112,Kenneth Meyer,manuel93@example.com,57,Female,Loristad,6,Furniture,Chairs,832.43,20.13,39x37x25,9112,06-03-2023,£25.41,Express,Pending,9112,146,115,2021-04-11,139,Lake Craig,7278,5,Morgan LLC,Port Robynmouth,1.23
